upgrade_id,building_type,town_hall_level,current_level,builder_boost_percent,builder_count,upgrade_cost_elixir,upgrade_time_hours
156,Dark Elixir Storage,8,3,20,4,252000,17.54
157,Archer Tower,9,14,20,4,1025000,57.13
158,Archer Tower,7,4,20,1,108000,9.73
159,Air Defense,12,5,0,2,524000,34.62
160,Dark Barracks,13,10,30,4,1096000,92.55
161,Gold Storage,13,15,50,4,1415000,70.87
162,Laboratory,2,3,30,3,76000,6.27
163,Archer Tower,15,3,30,2,93000,7.72
164,Wizard Tower,14,10,25,2,905000,61.2
165,Air Defense,1,6,20,3,442000,27.31
166,Laboratory,7,8,20,6,450000,30.29
167,Spell Factory,12,1,50,3,45000,4.57
168,Spell Factory,7,2,50,4,107000,8.37
169,Laboratory,6,6,10,4,284000,20.58
170,Wizard Tower,10,15,30,6,1529000,92.59
171,Cannon,14,8,50,4,400000,24.18
172,Archer Tower,5,8,25,5,318000,20.83
173,Cannon,1,6,0,4,149000,12.89
174,Army Camp,10,10,25,1,745000,51.15
175,Gold Storage,2,7,20,4,283000,18.82
176,Dark Barracks,15,4,20,2,235000,26.44
177,Wizard Tower,10,15,20,1,1496000,100.39
178,Laboratory,13,13,50,1,1379000,65.39
179,Spell Factory,9,3,50,3,211000,16.12
180,Army Camp,5,1,50,2,18000,2.55
181,Spell Factory,5,2,0,2,98000,10.39
182,Elixir Storage,4,6,0,6,205000,17.71
183,Wizard Tower,8,13,25,6,1286000,68.21
184,Dark Barracks,9,1,10,4,25000,4.33
185,Elixir Storage,11,7,10,5,343000,26.27
186,Barracks,5,10,25,4,437000,27.73
187,Archer Tower,14,18,10,5,1611000,100.62
188,Laboratory,15,6,20,5,342000,25.83
189,Dark Elixir Storage,7,1,10,3,43000,4.64
190,Wizard Tower,10,15,50,5,1466000,81.75
191,Cannon,9,4,0,1,108000,11.43
192,Archer Tower,14,18,0,5,1768000,104.0
193,Elixir Storage,7,5,25,6,198000,14.09
194,Dark Elixir Storage,8,3,30,3,240000,16.79
195,Laboratory,4,9,0,5,475000,35.22
196,Cannon,7,9,50,2,394000,24.29
197,Gold Storage,14,2,25,3,51000,5.59
198,Gold Storage,10,5,30,5,192000,14.75
199,Air Defense,2,7,20,5,568000,36.08
200,Laboratory,12,9,25,6,695000,41.0
201,Wizard Tower,16,7,25,3,523000,35.94
202,Spell Factory,8,6,25,1,770000,49.82
203,Spell Factory,12,3,30,2,258000,19.83
204,Spell Factory,7,3,20,5,220000,17.43
205,Cannon,6,11,30,2,580000,35.85
206,Dark Elixir Storage,9,4,20,2,393000,25.82
207,Barracks,13,13,50,3,845000,46.71
208,Cannon,2,7,0,5,231000,17.72
209,Wizard Tower,11,3,20,6,124000,10.23
210,Cannon,9,14,50,2,986000,49.71
211,Barracks,14,14,30,2,1107000,59.81
212,Spell Factory,11,5,10,1,606000,44.1
213,Laboratory,14,14,30,6,1653000,85.24
214,Army Camp,6,11,25,1,685000,49.54
215,Dark Elixir Storage,11,10,50,5,2120000,97.3
216,Dark Elixir Storage,10,2,30,4,148000,9.54
217,Dark Elixir Storage,11,3,50,6,248000,16.34
218,Spell Factory,12,6,10,6,830000,58.14
219,Army Camp,14,12,50,1,1056000,63.15
220,Dark Barracks,1,6,30,2,306000,27.51
221,Barracks,7,2,30,1,36000,4.12
222,Gold Storage,13,6,30,5,286000,21.2
223,Army Camp,12,1,10,2,19000,3.4
224,Laboratory,8,13,10,6,1058000,65.4
225,Army Camp,12,3,20,6,95000,9.49
226,Dark Barracks,2,7,25,6,372000,34.4
227,Spell Factory,14,3,30,3,267000,20.88
228,Laboratory,8,3,0,5,95000,8.95
229,Cannon,4,9,10,6,403000,23.99
230,Army Camp,10,1,10,5,19000,3.17
231,Spell Factory,15,6,10,5,980000,60.76
232,Gold Storage,12,12,10,5,1049000,63.56
233,Dark Elixir Storage,12,5,50,3,667000,33.4
234,Barracks,2,7,0,5,199000,15.42
235,Archer Tower,4,9,0,2,399000,27.9
236,Barracks,9,12,20,6,735000,41.83
237,Army Camp,14,12,25,3,1047000,75.21
238,Spell Factory,10,2,10,1,123000,11.63
239,Dark Elixir Storage,7,1,10,1,45000,4.68
240,Army Camp,10,9,10,6,672000,41.89
241,Dark Barracks,1,6,50,5,287000,23.38
242,Dark Barracks,12,9,25,1,937000,78.79
243,Army Camp,16,3,25,1,108000,11.11
244,Gold Storage,5,4,30,3,122000,9.13
245,Archer Tower,5,10,50,5,480000,25.25
246,Dark Elixir Storage,13,10,20,1,2390000,118.48
247,Archer Tower,14,9,20,4,572000,33.59
248,Air Defense,6,11,20,1,1346000,88.23
249,Army Camp,5,5,50,3,193000,13.7
250,Spell Factory,8,3,50,2,239000,15.89
251,Gold Storage,2,7,25,1,281000,19.19
252,Gold Storage,6,11,0,4,739000,44.94
253,Wizard Tower,12,9,30,2,753000,45.69
254,Archer Tower,11,10,10,4,542000,39.16
255,Dark Elixir Storage,16,9,50,1,2024000,93.23
256,Elixir Storage,4,2,50,3,40000,3.87
257,Gold Storage,3,8,0,1,323000,27.0
258,Gold Storage,11,16,0,4,1460000,101.15
259,Dark Barracks,10,9,20,4,907000,71.24
260,Laboratory,12,7,25,1,400000,30.17
261,Dark Elixir Storage,13,4,20,2,433000,31.91
262,Cannon,1,1,25,3,8000,2.44
263,Air Defense,2,7,50,2,585000,29.52
264,Wizard Tower,13,9,50,6,804000,41.4
265,Cannon,2,7,0,3,225000,17.34
266,Spell Factory,13,6,20,1,887000,58.48
267,Spell Factory,6,2,50,3,105000,8.53
268,Air Defense,12,6,30,1,647000,40.33
269,Air Defense,15,1,50,1,39000,3.97
270,Gold Storage,15,6,50,4,325000,20.25
271,Elixir Storage,10,15,50,5,1298000,68.41
272,Elixir Storage,4,1,0,3,13000,2.91
273,Archer Tower,11,1,20,6,12000,2.63
274,Army Camp,15,2,10,4,55000,6.85
275,Spell Factory,12,4,10,6,438000,31.15
276,Spell Factory,4,6,50,6,616000,33.61
277,Elixir Storage,7,12,30,1,770000,47.66
278,Wizard Tower,16,6,0,2,375000,33.26
279,Elixir Storage,7,12,10,5,859000,52.8
280,Cannon,1,6,50,5,161000,10.13
281,Dark Barracks,6,8,20,1,563000,54.93
282,Spell Factory,8,6,30,4,730000,45.27
283,Gold Storage,8,12,50,1,915000,47.34
284,Cannon,14,14,10,2,1128000,70.21
285,Elixir Storage,11,2,0,2,43000,6.2
286,Barracks,5,3,10,3,62000,6.13
287,Barracks,8,5,20,2,166000,12.24
288,Archer Tower,13,11,50,3,724000,40.26
289,Laboratory,16,6,20,6,346000,25.89
290,Elixir Storage,13,1,10,2,17000,3.41
291,Dark Barracks,16,5,50,1,341000,31.22
292,Army Camp,8,2,10,4,45000,5.95
293,Archer Tower,7,10,10,4,518000,32.11
294,Barracks,8,7,10,4,271000,18.49
295,Wizard Tower,11,9,50,4,638000,38.59
296,Army Camp,5,8,20,3,454000,29.89
297,Elixir Storage,6,3,10,6,76000,7.12
298,Spell Factory,3,1,50,2,41000,3.47
299,Elixir Storage,9,10,30,2,673000,39.94
300,Wizard Tower,3,8,50,1,461000,25.6
301,Gold Storage,13,2,20,4,52000,5.31
302,Archer Tower,7,4,50,4,107000,7.85
303,Cannon,4,9,50,2,407000,20.5
304,Archer Tower,6,9,25,4,446000,24.67
305,Wizard Tower,4,9,0,4,559000,41.22
306,Cannon,10,11,30,5,655000,37.57
307,Cannon,15,9,20,1,513000,35.03
308,Spell Factory,6,5,20,1,508000,36.28
309,Dark Elixir Storage,12,6,0,4,927000,56.33
310,Dark Elixir Storage,12,3,25,1,303000,19.32
311,Dark Elixir Storage,14,10,50,6,2100000,103.46
312,Dark Elixir Storage,13,10,25,2,2408000,115.5
313,Dark Barracks,11,6,30,6,439000,38.39
314,Archer Tower,14,8,20,2,464000,29.76
315,Air Defense,1,6,30,3,458000,25.92
316,Barracks,15,4,10,5,125000,10.83
317,Army Camp,15,12,25,6,1224000,75.32
318,Dark Barracks,5,6,10,6,319000,34.66
319,Laboratory,10,5,0,4,250000,18.27
320,Cannon,6,5,30,6,164000,11.31
321,Elixir Storage,15,16,30,5,1676000,93.93
322,Barracks,6,6,30,4,195000,13.26
323,Elixir Storage,9,14,10,2,1116000,76.4
324,Gold Storage,16,10,20,6,750000,51.0
325,Spell Factory,6,7,25,1,811000,56.55
326,Wizard Tower,6,1,10,1,23000,3.42
327,Barracks,12,11,30,4,644000,36.64
328,Gold Storage,11,16,0,3,1566000,103.34
329,Elixir Storage,12,15,30,4,1365000,82.75
330,Barracks,10,14,50,5,952000,47.19
331,Gold Storage,15,13,30,6,1349000,65.74
332,Spell Factory,5,1,0,3,39000,4.91
333,Cannon,1,6,10,4,154000,12.47
334,Laboratory,4,2,0,2,44000,5.19
335,Archer Tower,4,9,20,5,381000,24.07
336,Air Defense,7,10,50,6,1295000,63.0
337,Barracks,15,13,0,2,932000,65.65
338,Spell Factory,10,2,50,5,127000,8.77
339,Gold Storage,14,2,20,5,52000,5.36
340,Air Defense,1,6,10,4,435000,29.23
341,Laboratory,13,15,10,3,1549000,104.31
342,Air Defense,8,10,25,2,1374000,76.44
343,Archer Tower,16,18,10,1,1739000,106.03
344,Barracks,12,3,10,1,74000,7.74
345,Air Defense,5,10,30,2,1122000,67.53
346,Wizard Tower,1,5,25,3,192000,13.31
347,Barracks,3,4,25,5,80000,6.85
348,Laboratory,4,9,30,5,485000,31.57
349,Dark Barracks,16,6,30,3,548000,45.26
350,Archer Tower,13,2,0,1,42000,5.63
351,Dark Barracks,9,6,10,4,382000,38.92
352,Army Camp,9,5,25,2,200000,16.89
353,Archer Tower,6,11,50,3,572000,29.31
354,Laboratory,11,5,25,3,258000,17.82
355,Elixir Storage,8,13,10,6,1057000,62.75
356,Gold Storage,8,10,20,5,660000,38.36
357,Spell Factory,6,6,50,1,646000,39.67
358,Air Defense,5,5,50,4,408000,21.57
359,Archer Tower,4,9,0,5,338000,25.67
360,Laboratory,7,3,50,6,88000,6.89
361,Laboratory,4,9,0,6,485000,33.3
362,Laboratory,6,9,0,1,547000,39.35
363,Elixir Storage,12,2,30,2,45000,5.05
364,Barracks,8,12,20,4,734000,40.49
365,Archer Tower,1,6,50,3,154000,10.99
366,Barracks,1,3,50,2,51000,4.38
367,Spell Factory,16,4,20,5,476000,34.83
368,Cannon,3,8,30,1,302000,19.81
369,Spell Factory,10,1,25,5,42000,4.53
370,Air Defense,4,9,20,6,1004000,57.05
371,Air Defense,7,3,20,5,177000,12.56
372,Army Camp,1,4,25,5,104000,9.23
373,Laboratory,5,5,30,3,201000,14.05
374,Laboratory,4,9,25,2,538000,33.19
375,Dark Barracks,9,7,10,4,572000,51.79
376,Gold Storage,16,2,10,4,56000,6.3
377,Laboratory,12,2,50,1,60000,5.06
378,Army Camp,13,11,30,4,931000,63.01
379,Army Camp,10,1,20,1,19000,3.09
380,Elixir Storage,10,15,20,2,1282000,78.58
381,Laboratory,16,1,0,4,23000,3.65
382,Elixir Storage,16,4,30,1,174000,14.02
383,Air Defense,2,7,0,4,524000,39.09
384,Barracks,3,8,0,5,291000,19.35
385,Laboratory,10,3,10,3,109000,9.55
386,Wizard Tower,16,4,20,6,234000,17.16
387,Dark Barracks,3,5,20,1,248000,23.77
388,Wizard Tower,4,3,25,1,96000,8.14
389,Spell Factory,12,3,10,5,248000,20.29
390,Gold Storage,7,4,30,4,135000,9.99
391,Dark Barracks,4,3,10,5,104000,12.42
392,Cannon,16,8,20,1,448000,31.63
393,Dark Elixir Storage,12,3,25,1,303000,19.29
394,Gold Storage,3,8,10,4,353000,24.86
395,Laboratory,6,5,20,2,191000,15.26
396,Dark Barracks,1,6,30,4,274000,27.26
397,Cannon,14,3,25,1,82000,7.99
398,Wizard Tower,6,9,10,1,532000,43.0
399,Spell Factory,8,3,20,2,204000,18.99
400,Air Defense,5,2,10,4,86000,7.46
401,Cannon,11,9,50,5,507000,25.84
402,Spell Factory,10,4,50,1,359000,24.26
403,Army Camp,14,10,50,5,824000,47.95
404,Cannon,16,20,10,3,2413000,122.68
405,Wizard Tower,5,10,30,5,710000,43.46
406,Cannon,1,6,10,5,180000,13.26
407,Laboratory,9,10,10,1,791000,47.15
408,Gold Storage,12,6,50,5,296000,19.12
409,Archer Tower,13,10,10,3,592000,41.76
410,Dark Elixir Storage,15,1,20,3,57000,5.55
411,Cannon,6,1,25,5,11000,2.39
412,Spell Factory,5,7,10,2,834000,57.13
413,Elixir Storage,14,15,20,1,1523000,93.42
414,Cannon,5,10,0,3,492000,32.58
415,Cannon,8,13,50,3,886000,44.12
416,Dark Barracks,14,5,0,3,360000,40.29
417,Barracks,15,15,0,5,1144000,74.35
418,Gold Storage,15,4,30,1,169000,12.91
419,Dark Elixir Storage,11,8,50,6,1432000,63.68
420,Elixir Storage,11,6,50,1,287000,17.7
421,Archer Tower,11,9,10,2,482000,32.59
422,Elixir Storage,13,5,30,6,224000,15.78
423,Laboratory,10,12,25,4,1096000,60.99
424,Army Camp,14,5,0,3,247000,21.89
425,Air Defense,11,9,25,3,1364000,73.67
426,Dark Barracks,3,1,25,3,20000,3.65
427,Wizard Tower,7,12,30,2,967000,63.31
428,Wizard Tower,16,9,30,5,840000,51.29
429,Air Defense,3,8,20,6,803000,43.65
430,Air Defense,11,5,30,4,466000,29.6
431,Air Defense,5,9,20,4,1041000,59.64
432,Barracks,12,9,10,5,506000,30.78
433,Barracks,4,9,25,6,327000,22.5
434,Army Camp,3,6,0,1,219000,20.04
435,Gold Storage,2,7,25,6,248000,17.18
436,Elixir Storage,9,12,25,4,844000,51.95
437,Dark Barracks,11,9,50,3,877000,66.51
438,Gold Storage,9,10,30,6,664000,37.37
439,Laboratory,9,4,30,5,159000,11.83
440,Dark Elixir Storage,8,2,50,3,132000,8.31
441,Dark Elixir Storage,13,5,20,5,733000,39.49
442,Spell Factory,11,3,30,5,231000,18.41
443,Wizard Tower,1,6,30,5,257000,17.09
444,Elixir Storage,7,2,50,1,40000,4.31
445,Gold Storage,5,10,10,2,585000,36.98
446,Gold Storage,11,10,0,4,720000,49.25
447,Army Camp,13,1,30,5,20000,2.98
448,Spell Factory,12,6,25,1,880000,55.72
449,Barracks,16,4,20,2,141000,11.13
450,Elixir Storage,6,3,0,4,76000,7.74
451,Cannon,12,1,0,4,12000,3.02
452,Army Camp,16,1,25,5,21000,3.22
453,Cannon,11,16,30,2,1380000,73.81
454,Barracks,4,6,50,4,182000,10.59
455,Dark Elixir Storage,7,2,0,1,134000,10.47
456,Elixir Storage,1,6,30,5,207000,13.98
457,Elixir Storage,12,8,0,4,494000,36.75
458,Gold Storage,5,3,30,4,74000,6.93
459,Dark Barracks,16,10,25,4,1092000,101.8
460,Air Defense,12,11,50,1,1803000,93.07
461,Spell Factory,12,5,0,3,663000,46.53
462,Spell Factory,10,1,20,3,46000,5.19
463,Wizard Tower,9,11,25,3,936000,60.48
464,Gold Storage,2,7,25,6,256000,18.86
465,Wizard Tower,15,10,0,5,904000,65.11
466,Elixir Storage,10,2,50,6,49000,4.23
467,Elixir Storage,3,3,30,5,66000,6.11
468,Dark Elixir Storage,15,5,10,6,771000,44.88
469,Gold Storage,15,14,0,2,1305000,92.38
470,Wizard Tower,11,5,10,5,242000,20.76
471,Dark Elixir Storage,8,7,20,5,1096000,56.84
472,Barracks,5,6,50,3,204000,10.94
473,Gold Storage,5,5,25,3,186000,12.54
474,Dark Elixir Storage,7,9,0,6,1473000,91.75
475,Dark Barracks,7,4,30,4,198000,19.88
476,Cannon,8,12,30,2,701000,44.13
477,Elixir Storage,1,4,50,1,107000,7.26
478,Archer Tower,16,19,10,2,1901000,119.04
479,Gold Storage,9,11,10,3,776000,51.18
480,Archer Tower,11,3,10,2,76000,7.5
481,Archer Tower,8,13,20,6,798000,49.87
482,Elixir Storage,12,4,10,2,145000,12.96
483,Cannon,14,8,30,5,419000,28.09
484,Air Defense,13,9,0,2,1406000,85.56
485,Air Defense,10,11,30,3,1594000,93.78
486,Laboratory,6,8,20,3,471000,29.76
487,Gold Storage,3,6,50,6,220000,13.88
488,Wizard Tower,14,13,25,3,1562000,91.08
489,Spell Factory,3,5,20,2,411000,31.56
490,Archer Tower,2,7,25,6,203000,14.45
491,Wizard Tower,3,8,0,2,398000,32.1
492,Laboratory,6,11,20,2,753000,48.9
493,Wizard Tower,16,10,10,2,979000,66.97
494,Laboratory,15,1,30,6,23000,3.07
495,Wizard Tower,11,11,20,3,962000,63.21
496,Army Camp,13,9,0,6,694000,50.07
497,Barracks,3,8,50,3,278000,15.7
498,Wizard Tower,2,6,20,4,243000,18.55
499,Wizard Tower,5,10,0,4,674000,47.58
500,Army Camp,13,4,10,5,181000,14.86
501,Gold Storage,7,12,30,3,884000,47.12
502,Archer Tower,16,17,10,3,1680000,102.43
503,Dark Barracks,8,1,20,3,26000,4.1
504,Spell Factory,7,7,10,6,909000,63.63
505,Air Defense,2,4,25,2,223000,15.79
506,Archer Tower,1,6,25,3,179000,12.37
507,Laboratory,14,11,10,2,986000,63.85
508,Barracks,14,14,50,5,1125000,53.49
509,Laboratory,11,1,10,3,22000,3.39
510,Army Camp,15,3,50,3,109000,8.88
511,Archer Tower,16,19,25,2,1830000,112.92
512,Elixir Storage,5,10,30,6,531000,34.3
513,Laboratory,7,12,0,4,941000,59.59
514,Archer Tower,10,9,25,1,483000,30.02
515,Dark Elixir Storage,11,4,10,4,479000,28.63
516,Spell Factory,6,1,0,3,40000,5.05
517,Gold Storage,13,9,30,2,572000,39.84
518,Elixir Storage,10,13,30,2,1000000,58.58
519,Gold Storage,2,7,25,1,265000,19.62
520,Dark Elixir Storage,10,10,25,1,1915000,104.45
521,Army Camp,6,5,25,2,183000,15.6
522,Dark Barracks,13,10,20,1,1002000,99.98
523,Gold Storage,1,3,25,3,57000,5.87
524,Elixir Storage,8,7,30,1,331000,24.07
525,Spell Factory,16,6,30,5,844000,57.37
526,Archer Tower,11,2,20,1,35000,4.93
527,Archer Tower,9,4,50,6,111000,8.28
528,Gold Storage,7,12,25,5,864000,48.37
529,Archer Tower,15,19,50,6,2147000,91.65
530,Dark Elixir Storage,16,8,50,4,1515000,77.61
531,Laboratory,13,12,10,5,1109000,72.86
532,Spell Factory,10,4,10,3,401000,30.18
533,Archer Tower,16,5,25,6,204000,14.98
534,Army Camp,2,6,0,1,221000,20.61
535,Elixir Storage,13,6,30,5,329000,21.05
536,Air Defense,13,6,0,5,724000,44.56
537,Cannon,12,11,25,4,718000,43.28
538,Army Camp,1,6,50,5,203000,14.41
539,Air Defense,5,8,0,2,836000,56.8
540,Gold Storage,4,9,0,2,443000,32.79
541,Laboratory,4,9,0,6,544000,33.6
542,Cannon,11,12,0,1,742000,52.55
543,Dark Elixir Storage,14,5,30,3,768000,42.49
544,Air Defense,8,4,30,1,298000,19.02
545,Air Defense,6,8,50,3,935000,41.67
546,Dark Elixir Storage,14,9,50,3,1972000,87.23
547,Air Defense,14,9,30,4,1467000,76.46
548,Wizard Tower,4,9,50,1,588000,32.36
549,Elixir Storage,1,2,50,2,30000,3.54
550,Army Camp,11,8,20,5,501000,38.21
551,Army Camp,1,6,30,3,195000,16.61
552,Wizard Tower,4,5,30,1,207000,15.42
553,Army Camp,9,6,30,1,303000,22.73
554,Spell Factory,8,5,25,6,531000,35.87
555,Archer Tower,12,16,25,3,1311000,72.49
556,Dark Barracks,5,4,20,1,180000,19.32
557,Air Defense,16,9,25,4,1327000,84.06
558,Dark Elixir Storage,8,3,30,5,239000,16.53
559,Wizard Tower,3,8,0,5,461000,31.65
560,Archer Tower,5,8,30,1,335000,21.39
561,Air Defense,13,10,10,1,1507000,98.3
562,Dark Barracks,7,5,30,5,275000,27.09
563,Dark Elixir Storage,10,2,10,5,130000,11.17
564,Archer Tower,10,13,20,5,835000,51.42
565,Laboratory,3,8,50,5,369000,22.29
566,Gold Storage,8,3,25,2,91000,7.53
567,Army Camp,16,1,20,3,22000,3.44
568,Laboratory,4,9,10,1,459000,35.4
569,Dark Barracks,5,2,30,5,53000,7.05
570,Dark Elixir Storage,12,4,50,2,440000,26.23
571,Cannon,5,10,25,4,492000,27.49
572,Air Defense,13,2,25,6,111000,8.89
573,Archer Tower,2,7,25,4,203000,15.08
574,Elixir Storage,2,7,0,1,248000,21.82
