temperature_c,humidity_percent,time_of_day_hours,perfect_order
28,84,18,Masala chai
16,82,20,Masala chai
26,36,17,Elaichi chai
29,28,8,Plain chai
38,34,13,Kiwi tea
13,43,21,Plain chai
39,57,15,Elaichi chai
14,54,9,Ginger tea
32,68,19,Plain chai
16,88,7,Ginger tea
22,81,7,Masala chai
24,79,6,Masala chai
20,69,18,Elaichi chai
38,28,9,Kiwi tea
13,53,15,Elaichi chai
22,54,14,Plain chai
16,20,19,Plain chai
36,59,16,Elaichi chai
28,83,12,Masala chai
31,41,20,Kiwi tea
37,79,17,Masala chai
11,83,15,Masala chai
19,30,12,Plain chai
22,33,18,Elaichi chai
39,79,20,Masala chai
34,49,12,Kiwi tea
30,54,20,Plain chai
15,56,13,Plain chai
37,24,6,Kiwi tea
37,45,15,Kiwi tea
21,81,18,Masala chai
21,23,15,Elaichi chai
29,61,13,Plain chai
39,37,9,Kiwi tea
39,59,9,Plain chai
20,58,9,Plain chai
35,33,11,Kiwi tea
32,51,12,Plain chai
37,70,11,Plain chai
34,57,6,Plain chai
16,42,17,Elaichi chai
39,82,13,Masala chai
10,34,18,Elaichi chai
10,44,15,Elaichi chai
34,36,20,Kiwi tea
36,85,16,Masala chai
39,72,18,Elaichi chai
34,70,12,Plain chai
29,58,11,Plain chai
22,70,11,Plain chai
18,89,10,Masala chai
12,25,11,Plain chai
16,86,17,Masala chai
15,26,14,Plain chai
17,70,15,Elaichi chai
36,61,14,Plain chai
18,83,20,Masala chai
39,34,15,Kiwi tea
14,48,13,Plain chai
10,52,15,Elaichi chai
28,46,14,Plain chai
19,55,18,Elaichi chai
21,48,15,Elaichi chai
33,57,13,Plain chai
24,76,13,Masala chai
36,46,21,Kiwi tea
31,74,6,Plain chai
33,52,15,Elaichi chai
18,87,16,Masala chai
29,85,10,Masala chai
26,29,9,Plain chai
39,24,7,Kiwi tea
26,57,13,Plain chai
35,32,8,Kiwi tea
29,50,9,Plain chai
21,66,17,Elaichi chai
39,71,12,Plain chai
16,75,15,Elaichi chai
11,34,14,Plain chai
12,48,7,Ginger tea
26,27,8,Plain chai
14,24,9,Ginger tea
26,48,15,Elaichi chai
33,66,6,Plain chai
26,87,12,Masala chai
36,64,7,Plain chai
26,21,10,Plain chai
11,46,20,Plain chai
11,55,6,Ginger tea
37,55,8,Plain chai
31,45,17,Kiwi tea
32,62,7,Plain chai
14,46,6,Ginger tea
10,88,12,Masala chai
10,39,10,Ginger tea
28,30,6,Plain chai
39,57,11,Plain chai
11,25,21,Plain chai
30,42,10,Plain chai
21,66,20,Plain chai
35,65,8,Plain chai
15,31,17,Elaichi chai
32,32,12,Kiwi tea
13,81,21,Masala chai
32,79,16,Masala chai
20,62,15,Elaichi chai
33,87,14,Masala chai
36,24,19,Kiwi tea
26,56,18,Elaichi chai
15,50,18,Elaichi chai
33,28,14,Kiwi tea
14,70,19,Plain chai
29,48,14,Plain chai
11,59,7,Ginger tea
15,60,21,Plain chai
31,30,8,Kiwi tea
20,42,12,Plain chai
25,20,10,Plain chai
25,65,7,Plain chai
10,40,8,Ginger tea
18,55,15,Elaichi chai
37,73,11,Plain chai
36,76,18,Masala chai
15,20,12,Plain chai
25,82,14,Masala chai
38,73,6,Plain chai
12,74,16,Elaichi chai
29,59,12,Plain chai
37,34,13,Kiwi tea
36,40,17,Kiwi tea
13,66,19,Plain chai
28,72,8,Plain chai
35,28,9,Kiwi tea
12,71,15,Elaichi chai
28,76,11,Masala chai
29,45,15,Elaichi chai
16,60,21,Plain chai
29,54,12,Plain chai
18,82,18,Masala chai
10,44,19,Plain chai
17,57,9,Ginger tea
16,21,13,Plain chai
27,26,10,Plain chai
17,53,6,Ginger tea
10,36,9,Ginger tea
20,62,8,Plain chai
37,78,14,Masala chai
34,70,13,Plain chai
34,73,6,Plain chai
27,43,16,Elaichi chai
32,44,11,Kiwi tea
39,71,14,Plain chai
19,89,12,Masala chai
12,52,9,Ginger tea
16,68,18,Elaichi chai
37,48,6,Kiwi tea
25,82,17,Masala chai
35,41,7,Kiwi tea
25,45,17,Elaichi chai
34,47,10,Kiwi tea
29,68,17,Elaichi chai
37,68,16,Elaichi chai
26,39,21,Plain chai
11,82,10,Ginger tea
10,80,13,Masala chai
25,68,11,Plain chai
39,20,13,Kiwi tea
21,32,7,Plain chai
14,70,8,Ginger tea
14,75,11,Plain chai
36,81,17,Masala chai
32,51,18,Elaichi chai
18,49,15,Elaichi chai
18,48,8,Plain chai
12,68,11,Plain chai
28,64,11,Plain chai
25,49,7,Plain chai
25,35,12,Plain chai
12,59,17,Elaichi chai
29,38,7,Plain chai
33,37,11,Kiwi tea
31,20,6,Kiwi tea
33,66,8,Plain chai
10,85,7,Ginger tea
33,57,12,Plain chai
29,70,19,Plain chai
20,82,9,Masala chai
26,23,13,Plain chai
17,20,11,Plain chai
13,27,17,Elaichi chai
15,48,15,Elaichi chai
17,74,9,Ginger tea
29,22,10,Plain chai
39,51,18,Elaichi chai
12,29,18,Elaichi chai
25,53,20,Plain chai
39,74,20,Plain chai
34,51,14,Plain chai
12,69,12,Plain chai
34,26,21,Kiwi tea
38,27,15,Kiwi tea
27,84,19,Masala chai
23,76,19,Masala chai
27,86,14,Masala chai
11,78,12,Masala chai
31,73,21,Plain chai
12,86,17,Masala chai
25,70,6,Plain chai
38,27,21,Kiwi tea
18,53,17,Elaichi chai
13,54,13,Plain chai
10,51,9,Ginger tea
13,65,8,Ginger tea
10,35,21,Plain chai
23,87,19,Masala chai
30,56,18,Elaichi chai
25,73,12,Plain chai
29,33,17,Elaichi chai
33,74,8,Plain chai
17,67,13,Plain chai
16,26,11,Plain chai
12,26,10,Ginger tea
26,52,9,Plain chai
10,42,13,Plain chai
25,38,13,Plain chai
21,38,17,Elaichi chai
36,55,6,Plain chai
28,48,14,Plain chai
31,79,19,Masala chai
32,21,10,Kiwi tea
31,20,9,Kiwi tea
23,66,11,Plain chai
39,88,11,Masala chai
15,39,7,Ginger tea
15,30,13,Plain chai
22,21,12,Plain chai
28,86,21,Masala chai
31,31,6,Kiwi tea
17,39,10,Ginger tea
36,24,21,Kiwi tea
36,56,17,Elaichi chai
11,57,11,Plain chai
30,28,9,Plain chai
39,72,7,Plain chai
10,63,18,Elaichi chai
37,43,19,Kiwi tea
24,49,9,Plain chai
10,78,6,Ginger tea
14,33,12,Plain chai
37,28,7,Kiwi tea
38,59,18,Elaichi chai
25,85,7,Masala chai
28,44,14,Plain chai
13,41,10,Ginger tea
12,23,7,Ginger tea
26,45,16,Elaichi chai
26,77,14,Masala chai
21,48,14,Plain chai
37,56,6,Plain chai
39,89,16,Masala chai
38,37,8,Kiwi tea
23,61,9,Plain chai
30,60,19,Plain chai
15,57,12,Plain chai
12,53,15,Elaichi chai
37,36,9,Kiwi tea
18,56,7,Plain chai
14,44,12,Plain chai
33,46,11,Kiwi tea
38,76,8,Masala chai
26,50,11,Plain chai
23,25,16,Elaichi chai
30,59,20,Plain chai
12,31,11,Plain chai
37,72,17,Elaichi chai
10,29,10,Ginger tea
29,64,9,Plain chai
38,36,15,Kiwi tea
30,45,17,Elaichi chai
32,81,20,Masala chai
10,65,6,Ginger tea
12,83,15,Masala chai
27,21,11,Plain chai
34,73,7,Plain chai
19,84,18,Masala chai
31,70,8,Plain chai
35,72,19,Plain chai
12,55,13,Plain chai
17,45,15,Elaichi chai
23,48,19,Plain chai
33,40,19,Kiwi tea
27,30,11,Plain chai
24,59,8,Plain chai
31,30,21,Kiwi tea
32,55,12,Plain chai
11,78,9,Ginger tea
36,58,19,Plain chai
19,73,14,Plain chai
11,74,20,Plain chai
35,43,10,Kiwi tea
26,41,8,Plain chai
17,88,7,Ginger tea
10,75,16,Elaichi chai
18,52,7,Plain chai
20,55,8,Plain chai
31,39,7,Kiwi tea
25,81,19,Masala chai
16,45,9,Ginger tea
38,85,7,Masala chai
19,59,21,Plain chai
32,36,15,Kiwi tea
35,20,14,Kiwi tea
12,80,7,Ginger tea
27,62,14,Plain chai
34,61,18,Elaichi chai
33,44,11,Kiwi tea
22,58,6,Plain chai
37,54,9,Plain chai
35,22,20,Kiwi tea
16,63,19,Plain chai
34,70,6,Plain chai
13,31,19,Plain chai
22,38,21,Plain chai
29,63,11,Plain chai
10,78,19,Masala chai
17,68,18,Elaichi chai
23,80,9,Masala chai
25,36,8,Plain chai
23,76,8,Masala chai
21,74,14,Plain chai
28,66,11,Plain chai
32,31,14,Kiwi tea
24,81,18,Masala chai
37,27,10,Kiwi tea
11,40,7,Ginger tea
11,89,13,Masala chai
32,44,10,Kiwi tea
31,31,7,Kiwi tea
28,34,9,Plain chai
34,78,14,Masala chai
35,45,20,Kiwi tea
39,45,9,Kiwi tea
38,66,18,Elaichi chai
31,51,17,Elaichi chai
35,29,17,Kiwi tea
35,35,21,Kiwi tea
31,36,21,Kiwi tea
26,42,21,Plain chai
29,45,17,Elaichi chai
19,26,18,Elaichi chai
15,33,20,Plain chai
24,26,19,Plain chai
31,28,9,Kiwi tea
20,67,7,Plain chai
37,78,18,Masala chai
14,58,17,Elaichi chai
10,37,20,Plain chai
17,78,11,Masala chai
30,36,21,Plain chai
37,33,18,Kiwi tea
21,50,16,Elaichi chai
21,43,19,Plain chai
14,79,7,Ginger tea
16,64,17,Elaichi chai
13,22,12,Plain chai
15,56,8,Ginger tea
22,62,20,Plain chai
29,59,8,Plain chai
39,74,10,Plain chai
24,58,8,Plain chai
12,34,7,Ginger tea
32,23,15,Kiwi tea
17,44,14,Plain chai
29,32,7,Plain chai
25,52,19,Plain chai
22,35,16,Elaichi chai
27,61,7,Plain chai
37,85,18,Masala chai
19,74,20,Plain chai
39,61,13,Plain chai
28,53,20,Plain chai
26,49,14,Plain chai
33,32,12,Kiwi tea
28,32,8,Plain chai
37,37,14,Kiwi tea
35,51,8,Plain chai
32,58,10,Plain chai
35,65,14,Plain chai
14,48,17,Elaichi chai
35,81,19,Masala chai
30,81,19,Masala chai
39,76,8,Masala chai
32,35,12,Kiwi tea
18,75,21,Plain chai
21,29,21,Plain chai
30,49,17,Elaichi chai
10,44,6,Ginger tea
35,24,9,Kiwi tea
35,84,9,Masala chai
10,68,12,Plain chai
24,22,13,Plain chai
11,64,6,Ginger tea
39,33,10,Kiwi tea
31,49,12,Kiwi tea
25,87,17,Masala chai
34,37,9,Kiwi tea
17,81,18,Masala chai
22,56,9,Plain chai
30,44,9,Plain chai
10,67,17,Elaichi chai
25,84,11,Masala chai
38,72,12,Plain chai
16,34,7,Ginger tea
14,68,20,Plain chai
31,87,10,Masala chai
38,31,9,Kiwi tea
32,78,20,Masala chai
12,56,19,Plain chai
21,80,21,Masala chai
35,62,18,Elaichi chai
25,89,8,Masala chai
28,58,12,Plain chai
14,75,16,Elaichi chai
31,82,17,Masala chai
34,65,11,Plain chai
38,30,19,Kiwi tea
23,81,12,Masala chai
37,44,10,Kiwi tea
14,71,18,Elaichi chai
24,23,11,Plain chai
26,78,10,Masala chai
39,39,19,Kiwi tea
23,82,12,Masala chai
39,73,7,Plain chai
29,76,19,Masala chai
14,60,16,Elaichi chai
21,22,10,Plain chai
25,25,11,Plain chai
35,24,11,Kiwi tea
35,24,20,Kiwi tea
25,73,10,Plain chai
30,66,15,Elaichi chai
16,68,12,Plain chai
13,28,15,Elaichi chai
10,39,13,Plain chai
39,80,12,Masala chai
39,54,10,Plain chai
14,69,6,Ginger tea
32,81,18,Masala chai
35,36,10,Kiwi tea
19,22,15,Elaichi chai
31,51,7,Plain chai
14,32,18,Elaichi chai
13,87,10,Ginger tea
11,33,10,Ginger tea
29,30,7,Plain chai
19,75,10,Plain chai
35,86,18,Masala chai
28,48,21,Plain chai
35,28,9,Kiwi tea
10,86,6,Ginger tea
33,44,8,Kiwi tea
14,61,6,Ginger tea
22,28,17,Elaichi chai
13,59,16,Elaichi chai
25,44,20,Plain chai
33,24,10,Kiwi tea
25,30,9,Plain chai
32,78,21,Masala chai
11,57,12,Plain chai
26,24,10,Plain chai
37,67,15,Elaichi chai
36,37,19,Kiwi tea
29,89,9,Masala chai
33,56,7,Plain chai
21,79,9,Masala chai
27,67,21,Plain chai
12,47,17,Elaichi chai
37,88,7,Masala chai
10,59,13,Plain chai
10,64,8,Ginger tea
38,81,14,Masala chai
28,77,18,Masala chai
20,86,9,Masala chai
14,75,18,Elaichi chai
21,59,11,Plain chai
12,59,15,Elaichi chai
10,52,10,Ginger tea
10,25,15,Elaichi chai
17,38,18,Elaichi chai
19,59,6,Plain chai
20,78,14,Masala chai
21,78,21,Masala chai
38,67,6,Plain chai
22,60,13,Plain chai
21,32,14,Plain chai
23,64,14,Plain chai
11,72,6,Ginger tea
38,61,7,Plain chai
28,82,17,Masala chai
27,46,21,Plain chai
12,57,18,Elaichi chai
32,79,6,Masala chai
26,26,15,Elaichi chai
35,24,7,Kiwi tea
17,64,15,Elaichi chai
38,77,21,Masala chai
35,50,17,Elaichi chai
19,42,13,Plain chai
35,61,10,Plain chai
39,29,17,Kiwi tea
11,51,16,Elaichi chai
28,72,12,Plain chai
18,49,7,Plain chai
16,58,13,Plain chai
13,50,16,Elaichi chai
35,21,11,Kiwi tea
30,31,13,Plain chai
27,58,6,Plain chai
22,85,20,Masala chai
20,32,6,Plain chai
38,65,17,Elaichi chai
33,46,12,Kiwi tea
13,36,13,Plain chai
34,79,18,Masala chai
30,83,8,Masala chai
38,54,10,Plain chai
34,89,21,Masala chai
13,49,17,Elaichi chai
19,82,6,Masala chai
14,47,12,Plain chai
18,79,10,Masala chai
33,56,13,Plain chai
12,41,18,Elaichi chai
26,87,13,Masala chai
12,39,14,Plain chai
25,87,12,Masala chai
13,83,16,Masala chai
27,36,6,Plain chai
26,31,18,Elaichi chai
16,41,8,Ginger tea
33,36,13,Kiwi tea
32,29,8,Kiwi tea
39,84,13,Masala chai
14,41,6,Ginger tea
21,69,10,Plain chai
26,33,9,Plain chai
32,83,10,Masala chai
22,66,13,Plain chai
32,48,15,Kiwi tea
34,55,20,Plain chai
12,71,19,Plain chai
18,26,9,Plain chai
39,48,16,Kiwi tea
26,30,9,Plain chai
26,52,20,Plain chai
39,25,8,Kiwi tea
29,51,12,Plain chai
25,70,8,Plain chai
34,77,17,Masala chai
31,45,8,Kiwi tea
22,65,16,Elaichi chai
36,48,15,Kiwi tea
28,23,10,Plain chai
26,32,10,Plain chai
13,58,19,Plain chai
21,34,11,Plain chai
38,48,21,Kiwi tea
18,48,13,Plain chai
28,51,21,Plain chai
21,21,15,Elaichi chai
18,66,11,Plain chai
16,41,20,Plain chai
37,46,21,Kiwi tea
23,86,21,Masala chai
29,75,17,Elaichi chai
28,40,6,Plain chai
35,66,20,Plain chai
24,78,13,Masala chai
25,25,21,Plain chai
30,38,13,Plain chai
14,76,14,Masala chai
12,88,14,Masala chai
21,22,7,Plain chai
34,20,20,Kiwi tea
29,77,7,Masala chai
36,57,8,Plain chai
30,34,6,Plain chai
13,53,9,Ginger tea
30,80,19,Masala chai
32,54,9,Plain chai
25,83,19,Masala chai
34,44,14,Kiwi tea
16,43,14,Plain chai
22,31,14,Plain chai
30,37,15,Elaichi chai
19,34,12,Plain chai
35,46,19,Kiwi tea
16,79,20,Masala chai
23,65,7,Plain chai
35,36,15,Kiwi tea
14,72,10,Ginger tea
12,27,9,Ginger tea
32,46,17,Kiwi tea
38,65,16,Elaichi chai
20,69,13,Plain chai
20,22,7,Plain chai
27,83,11,Masala chai
24,63,18,Elaichi chai
21,72,10,Plain chai
18,43,21,Plain chai
19,79,20,Masala chai
35,22,21,Kiwi tea
21,39,21,Plain chai
26,65,21,Plain chai
38,34,17,Kiwi tea
15,44,7,Ginger tea
16,36,16,Elaichi chai
23,28,15,Elaichi chai
22,57,20,Plain chai
17,67,6,Ginger tea
19,79,13,Masala chai
18,82,7,Masala chai
27,21,12,Plain chai
36,30,14,Kiwi tea
35,83,14,Masala chai
11,40,13,Plain chai
14,37,16,Elaichi chai
38,83,19,Masala chai
14,57,17,Elaichi chai
15,51,15,Elaichi chai
28,30,14,Plain chai
17,64,7,Ginger tea
25,52,11,Plain chai
22,60,9,Plain chai
10,27,19,Plain chai
31,30,9,Kiwi tea
29,70,10,Plain chai
26,60,17,Elaichi chai
16,36,21,Plain chai
34,65,8,Plain chai
22,51,19,Plain chai
13,73,6,Ginger tea
13,39,13,Plain chai
15,52,10,Ginger tea
37,59,8,Plain chai
28,51,15,Elaichi chai
38,21,21,Kiwi tea
21,52,19,Plain chai
31,49,12,Kiwi tea
16,52,12,Plain chai
36,45,6,Kiwi tea
19,41,17,Elaichi chai
35,85,14,Masala chai
28,57,20,Plain chai
16,65,7,Ginger tea
39,34,10,Kiwi tea
12,63,18,Elaichi chai
22,68,19,Plain chai
22,80,10,Masala chai
27,86,19,Masala chai
37,25,13,Kiwi tea
39,28,19,Kiwi tea
35,25,13,Kiwi tea
29,51,19,Plain chai
37,60,12,Plain chai
17,27,12,Plain chai
38,69,17,Elaichi chai
18,81,21,Masala chai
16,81,16,Masala chai
10,26,21,Plain chai
12,23,11,Plain chai
22,25,11,Plain chai
37,77,16,Masala chai
39,41,14,Kiwi tea
34,45,11,Kiwi tea
37,22,17,Kiwi tea
26,60,18,Elaichi chai
34,79,18,Masala chai
33,33,7,Kiwi tea
10,31,7,Ginger tea
15,31,18,Elaichi chai
30,32,10,Plain chai
15,44,20,Plain chai
35,64,9,Plain chai
21,38,16,Elaichi chai
22,74,7,Plain chai
22,64,20,Plain chai
38,27,20,Kiwi tea
24,72,8,Plain chai
30,74,12,Plain chai
25,51,13,Plain chai
31,70,17,Elaichi chai
30,63,18,Elaichi chai
20,89,11,Masala chai
37,37,16,Kiwi tea
14,41,10,Ginger tea
13,56,18,Elaichi chai
12,75,6,Ginger tea
28,78,13,Masala chai
29,22,8,Plain chai
34,47,20,Kiwi tea
27,54,11,Plain chai
24,80,8,Masala chai
18,73,12,Plain chai
26,82,18,Masala chai
23,26,19,Plain chai
24,68,12,Plain chai
10,50,17,Elaichi chai
30,77,20,Masala chai
31,80,14,Masala chai
31,43,21,Kiwi tea
12,39,10,Ginger tea
25,56,20,Plain chai
32,23,13,Kiwi tea
34,39,15,Kiwi tea
20,79,15,Masala chai
21,43,21,Plain chai
19,69,13,Plain chai
25,68,6,Plain chai
17,70,17,Elaichi chai
15,55,10,Ginger tea
21,85,8,Masala chai
33,53,6,Plain chai
37,55,9,Plain chai
30,25,13,Plain chai
17,58,8,Ginger tea
35,61,21,Plain chai
37,77,21,Masala chai
13,31,15,Elaichi chai
35,22,7,Kiwi tea
17,37,16,Elaichi chai
35,59,14,Plain chai
37,40,15,Kiwi tea
27,34,10,Plain chai
37,45,21,Kiwi tea
37,27,19,Kiwi tea
14,61,12,Plain chai
18,63,16,Elaichi chai
13,33,16,Elaichi chai
36,21,7,Kiwi tea
31,56,14,Plain chai
26,88,21,Masala chai
18,57,18,Elaichi chai
10,60,14,Plain chai
30,81,9,Masala chai
29,79,9,Masala chai
22,33,11,Plain chai
37,21,15,Kiwi tea
25,89,15,Masala chai
38,36,15,Kiwi tea
22,47,11,Plain chai
23,85,17,Masala chai
12,54,6,Ginger tea
38,24,19,Kiwi tea
15,84,19,Masala chai
27,59,14,Plain chai
28,75,7,Plain chai
14,55,10,Ginger tea
24,64,14,Plain chai
34,42,9,Kiwi tea
11,66,16,Elaichi chai
19,50,21,Plain chai
33,30,8,Kiwi tea
39,29,20,Kiwi tea
27,86,12,Masala chai
36,33,11,Kiwi tea
22,29,13,Plain chai
14,20,8,Ginger tea
32,24,10,Kiwi tea
33,39,15,Kiwi tea
10,27,9,Ginger tea
31,62,20,Plain chai
10,20,18,Elaichi chai
27,76,9,Masala chai
24,83,9,Masala chai
26,47,15,Elaichi chai
20,56,13,Plain chai
30,66,11,Plain chai
35,56,8,Plain chai
34,68,15,Elaichi chai
31,63,10,Plain chai
36,75,11,Plain chai
36,47,10,Kiwi tea
26,25,11,Plain chai
22,80,13,Masala chai
10,39,12,Plain chai
11,21,10,Ginger tea
18,56,15,Elaichi chai
12,39,11,Plain chai
10,45,19,Plain chai
30,48,9,Plain chai
25,20,17,Elaichi chai
32,54,14,Plain chai
15,89,18,Masala chai
37,78,9,Masala chai
26,88,6,Masala chai
14,52,12,Plain chai
14,70,12,Plain chai
15,31,9,Ginger tea
12,39,18,Elaichi chai
30,72,19,Plain chai
32,62,8,Plain chai
14,69,13,Plain chai
30,48,10,Plain chai
14,76,21,Masala chai
19,58,15,Elaichi chai
19,75,12,Plain chai
28,62,9,Plain chai
